ARC_File;Cluster_Alg;Cluster_File;A2A;CVG_A->B;CVG_B->A
Qodo_codecs_a025_c50_average.rsf;ACDC;acdc.rsf;61,33333333333333;0.0;0.0
Qodo_codecs_a025_c50_average.rsf;Limbo;luccodecs-9.0.0_IL_50_clusters.rsf;78,32512315270937;0.8;0.8
Qodo_codecs_a025_c50_average.rsf;WCA_UEM;luccodecs-9.0.0_UEM_50_clusters.rsf;70,19704433497537;0.1;0.1
Qodo_codecs_a025_c50_average.rsf;WCA_UEMNM;luccodecs-9.0.0_UEMNM_50_clusters.rsf;70,6896551724138;0.1;0.1
Qodo_codecs_a025_c50_complete.rsf;ACDC;acdc.rsf;61,33333333333333;0.0;0.0
Qodo_codecs_a025_c50_complete.rsf;Limbo;luccodecs-9.0.0_IL_50_clusters.rsf;78,32512315270937;0.8;0.8
Qodo_codecs_a025_c50_complete.rsf;WCA_UEM;luccodecs-9.0.0_UEM_50_clusters.rsf;70,19704433497537;0.1;0.1
Qodo_codecs_a025_c50_complete.rsf;WCA_UEMNM;luccodecs-9.0.0_UEMNM_50_clusters.rsf;70,6896551724138;0.1;0.1
Qodo_codecs_a025_c57_average.rsf;ACDC;acdc.rsf;59,68586387434556;0.0;0.0
Qodo_codecs_a025_c57_average.rsf;Limbo;luccodecs-9.0.0_IL_57_clusters.rsf;80,71428571428572;0.9298245614035088;0.9298245614035088
Qodo_codecs_a025_c57_average.rsf;WCA_UEM;luccodecs-9.0.0_UEM_57_clusters.rsf;72,14285714285714;0.08771929824561403;0.08771929824561403
Qodo_codecs_a025_c57_average.rsf;WCA_UEMNM;luccodecs-9.0.0_UEMNM_57_clusters.rsf;72,14285714285714;0.10526315789473684;0.10526315789473684
Qodo_codecs_a025_c57_complete.rsf;ACDC;acdc.rsf;59,68586387434556;0.0;0.0
Qodo_codecs_a025_c57_complete.rsf;Limbo;luccodecs-9.0.0_IL_57_clusters.rsf;80,71428571428572;0.9298245614035088;0.9298245614035088
Qodo_codecs_a025_c57_complete.rsf;WCA_UEM;luccodecs-9.0.0_UEM_57_clusters.rsf;72,14285714285714;0.08771929824561403;0.08771929824561403
Qodo_codecs_a025_c57_complete.rsf;WCA_UEMNM;luccodecs-9.0.0_UEMNM_57_clusters.rsf;72,14285714285714;0.10526315789473684;0.10526315789473684
Qodo_codecs_a050_c50_average.rsf;ACDC;acdc.rsf;61,33333333333333;0.0;0.0
Qodo_codecs_a050_c50_average.rsf;Limbo;luccodecs-9.0.0_IL_50_clusters.rsf;78,32512315270937;0.8;0.8
Qodo_codecs_a050_c50_average.rsf;WCA_UEM;luccodecs-9.0.0_UEM_50_clusters.rsf;70,19704433497537;0.1;0.1
Qodo_codecs_a050_c50_average.rsf;WCA_UEMNM;luccodecs-9.0.0_UEMNM_50_clusters.rsf;70,6896551724138;0.1;0.1
Qodo_codecs_a050_c50_complete.rsf;ACDC;acdc.rsf;61,33333333333333;0.0;0.0
Qodo_codecs_a050_c50_complete.rsf;Limbo;luccodecs-9.0.0_IL_50_clusters.rsf;78,32512315270937;0.8;0.8
Qodo_codecs_a050_c50_complete.rsf;WCA_UEM;luccodecs-9.0.0_UEM_50_clusters.rsf;70,19704433497537;0.1;0.1
Qodo_codecs_a050_c50_complete.rsf;WCA_UEMNM;luccodecs-9.0.0_UEMNM_50_clusters.rsf;70,6896551724138;0.1;0.1
Qodo_codecs_a050_c57_average.rsf;ACDC;acdc.rsf;59,68586387434556;0.0;0.0
Qodo_codecs_a050_c57_average.rsf;Limbo;luccodecs-9.0.0_IL_57_clusters.rsf;80,71428571428572;0.9298245614035088;0.9298245614035088
Qodo_codecs_a050_c57_average.rsf;WCA_UEM;luccodecs-9.0.0_UEM_57_clusters.rsf;72,14285714285714;0.08771929824561403;0.08771929824561403
Qodo_codecs_a050_c57_average.rsf;WCA_UEMNM;luccodecs-9.0.0_UEMNM_57_clusters.rsf;72,14285714285714;0.10526315789473684;0.10526315789473684
